Symbol    ,Quantity ,Purchase Price ,Current Price ,Cost        ,Change       ,Open   ,High     ,Low     ,Volume   ,Trade Date ,Industry
O         ,   3     ,       58.89   ,        55.26 ,176.67      ,0.349998     , 55.4  , 55.7409 , 54.86  , 5837385 ,  20240108 ,REIT
O         ,  13     ,       55.48   ,        55.26 ,721.24      ,0.349998     , 55.4  , 55.7409 , 54.86  , 5837385 ,  20240125 ,REIT
VZ        ,   2     ,       45.075  ,        38.89 , 90.15      ,-0.0400009   , 39.05 , 39.19   , 38.75  ,12837931 ,  20230202 ,Telecom Services
JEPI      ,   6     ,       56.8266 ,        56.06 ,340.9596    ,0.370003     , 56.06 , 56.11   , 55.82  , 3605489 ,  20221114 ,ETF
JEPI      ,   3     ,       59.0966 ,        56.06 ,177.2898    ,0.370003     , 56.06 , 56.11   , 55.82  , 3605489 ,  20221222 ,ETF
XEI.TO    ,  10     ,       27.953  ,        25.04 ,279.53      ,0.16000175   , 25.01 , 25.11   , 24.97  ,  111115 ,  20221101 ,ETF
ZDV.TO    ,   8     ,       20.04   ,        20.02 ,160.32      ,0.14999962   , 19.97 , 20.03   , 19.94  ,   39904 ,  20221011 ,ETF
BCE.TO    ,   6     ,       61.3783 ,        45.96 ,368.2698    ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20221005 ,Telecom Services
BCE.TO    ,   2     ,       65.475  ,        45.96 ,130.95      ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20230309 ,Telecom Services
SCHD      ,   5     ,       76.85   ,        77.97 ,384.25      ,0.700005     , 77.97 , 78.3    , 77.58  , 2606690 ,  20220912 ,ETF
SCHD      ,   3     ,       78.586  ,        77.97 ,235.758     ,0.700005     , 77.97 , 78.3    , 77.58  , 2606690 ,  20221230 ,ETF
VDY.TO    ,   9     ,       45.5311 ,        43.54 ,409.7799    ,0.15000153   , 43.67 , 43.74   , 43.44  ,  187528 ,  20220912 ,ETF
AQN.TO    ,   2     ,        8.22   ,         8.94 , 16.44      ,0.03999996   ,  8.97 ,  9.14   ,  8.91  , 2074736 ,  20240326 ,Utilities - Renewable
AQN.TO    ,   2     ,        8.23   ,         8.94 , 16.46      ,0.03999996   ,  8.97 ,  9.14   ,  8.91  , 2074736 ,  20240326 ,Utilities - Renewable
AQN.TO    ,   0.077 ,        7.8342 ,         8.94 ,  0.6032334 ,0.03999996   ,  8.97 ,  9.14   ,  8.91  , 2074736 ,  20240416 ,Utilities - Renewable
BCE.TO    ,   1     ,       46.46   ,        45.96 , 46.46      ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20240319 ,Telecom Services
BCE.TO    ,   0.128 ,       44.7636 ,        45.96 ,  5.7297408 ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20240404 ,Telecom Services
BNS.TO    ,   1     ,       68.62   ,        64.13 , 68.62      ,0.829998     , 63.75 , 64.28   , 63.64  , 3728428 ,  20240326 ,Financial Services
BNS.TO    ,   0.017 ,       63.5629 ,        64.13 ,  1.0805693 ,0.829998     , 63.75 , 64.28   , 63.64  , 3728428 ,  20240429 ,Financial Services
CIX.TO    ,   1     ,       17.26   ,        16.7  , 17.26      ,0.40000153   , 16.38 , 16.76   , 16.37  ,  640873 ,  20240328 ,Financial Services
CM.TO     ,   1     ,       68.48   ,        65.51 , 68.48      ,0.8100052    , 65    , 65.7    , 64.9   ,11918284 ,  20240326 ,Financial Services
CM.TO     ,   0.014 ,       64.8145 ,        65.51 ,  0.907403  ,0.8100052    , 65    , 65.7    , 64.9   ,11918284 ,  20240430 ,Financial Services
CNR.TO    ,   0.942 ,      170.59   ,       168.97 ,160.69578   ,2.1699982    ,167.84 ,169.4    ,167.26  ,  568986 ,  20240429 ,Railroads
DIR-UN.TO ,   1     ,       13.14   ,        12.77 , 13.14      ,0.10000038   , 12.75 , 12.88   , 12.68  ,  285664 ,  20240328 ,REIT
ENB.TO    ,   2     ,       46.32   ,        49.73 , 92.64      ,-0.10000229  , 49.95 , 50.37   , 49.64  , 5547797 ,  20240418 ,Oil & Gas
FRU.TO    ,   0.006 ,       14.33   ,        13.95 ,  0.08598   ,-0.05000019  , 14.05 , 14.09   , 13.92  ,  204382 ,  20240416 ,Oil & Gas
FRU.TO    ,   1     ,       14.57   ,        13.95 , 14.57      ,-0.05000019  , 14.05 , 14.09   , 13.92  ,  204382 ,  20240326 ,Oil & Gas
GEI.TO    ,   1     ,       23.1    ,        22.15 , 23.1       ,-0.010000229 , 22.32 , 22.43   , 22.11  ,  211581 ,  20240328 ,Oil & Gas
LB.TO     ,   1     ,       28.09   ,        26.09 , 28.09      ,0            , 26.36 , 26.45   , 25.95  ,   91947 ,  20240328 ,Financial Services
NOK       ,   3     ,        3.5983 ,         3.69 , 10.7949    ,0.02         ,  3.71 ,  3.721  ,  3.68  ,13578167 ,  20240321 ,Communication Equipment
NPI.TO    ,   0.014 ,       21.39   ,        21.63 ,  0.29946   ,0.25         , 21.59 , 21.7    , 21.25  ,  832981 ,  20240416 ,Utilities - Renewable
NPI.TO    ,   1     ,       20.79   ,        21.63 , 20.79      ,0.25         , 21.59 , 21.7    , 21.25  ,  832981 ,  20240326 ,Utilities - Renewable
O         ,   1     ,       54.4891 ,        55.26 , 54.4891    ,0.349998     , 55.4  , 55.7409 , 54.86  , 5837385 ,  20240429 ,REIT
POW.TO    ,   0.015 ,       37.1091 ,        37.85 ,  0.5566365 ,0.43999863   , 37.69 , 38.02   , 37.62  , 3971579 ,  20240502 ,Financial Services
POW.TO    ,   1     ,       37.95   ,        37.85 , 37.95      ,0.43999863   , 37.69 , 38.02   , 37.62  , 3971579 ,  20240326 ,Financial Services
TCL-A.TO  ,   0.016 ,       13.9473 ,        13.94 ,  0.2231568 ,0.09999943   , 14    , 14      , 13.78  ,   67562 ,  20240423 ,Consumer Cyclical
TCL-A.TO  ,   1     ,       14.69   ,        13.94 , 14.69      ,0.09999943   , 14    , 14      , 13.78  ,   67562 ,  20240328 ,Consumer Cyclical
TD.TO     ,   1     ,       81.12   ,        74.8  , 81.12      ,-4.6399994   , 79.41 , 79.8    , 74.03  ,14821663 ,  20240326 ,Financial Services
TD.TO     ,   0.013 ,       81.2514 ,        74.8  ,  1.0562682 ,-4.6399994   , 79.41 , 79.8    , 74.03  ,14821663 ,  20240501 ,Financial Services
TRP.TO    ,   0.02  ,       49.194  ,        51.44 ,  0.98388   ,1.6299973    , 50.69 , 51.73   , 50.58  , 5033643 ,  20240501 ,Oil & Gas
TRP.TO    ,   1     ,       54.94   ,        51.44 , 54.94      ,1.6299973    , 50.69 , 51.73   , 50.58  , 5033643 ,  20240326 ,Oil & Gas
VFV.TO    ,   1     ,      123.93   ,       124.49 ,123.93      ,1.6399994    ,123.99 ,124.63   ,123.8   ,  227533 ,  20240429 ,ETF
VUN.TO    ,   1     ,       93.8    ,        94.22 , 93.8       ,1.090004     , 94.14 , 94.35   , 93.85  ,   26599 ,  20240429 ,ETF
WTE.TO    ,   1     ,       25.84   ,        26.38 , 25.84      ,-0.050001144 , 26.44 , 26.62   , 26.345 ,   48870 ,  20240328 ,Marine Shipping
XEQT.TO   ,  10     ,       29.86   ,        29.97 ,298.6       ,0.289999     , 29.9  , 29.98   , 29.84  ,  150863 ,  20240503 ,ETF
XEQT.TO   ,   0.855 ,       29.93   ,        29.97 , 25.59015   ,0.289999     , 29.9  , 29.98   , 29.84  ,  150863 ,  20240503 ,ETF
